Year,Region,Forest,CCF_Attainment,CCF_Offer,MBF_Attainment,MBF_Offer
2007,"08 R8, Southern Region",07 NF Mississippi National Forest,123058.47,123109.13,61529.28,61554.61
2007,"08 R8, Southern Region",08 George Washington & Jefferson National Forest,30925.92,45495.92,15463.22,22748.22
2007,"08 R8, Southern Region",09 Ouachita National Forest,206305.55,198605.81,103152.84,99302.96
2007,"08 R8, Southern Region",10 Ozark St. Francis National Forest,103991.51,92469.05,52733.58,46219.93
2007,"08 R8, Southern Region",11 NF N. Carolina National Forest,49191.53,60839.45,26461.98,32371.3
2007,"08 R8, Southern Region",12 Francis Marion National Forest,103275.38,101082.38,51644.23,50547.73
2007,"08 R8, Southern Region",13 NFS In Texas National Forest,68029.07,85423.04,34014.72,42711.7
2007,"08 R8, Southern Region",60 Land Between The Lakes National Forest,2638.39,2638.39,1319.23,1319.23
2007,"08 R8, Southern Region",Region Total,965628.45,1017282.53,485933.88,511541.4
2007,"09 R9, Eastern Region",03 Chippewa National Forest,61504.86,65959.07,37556.68,40255.31
2007,"09 R9, Eastern Region",04 Huron Manistee National Forest,77541.73,89287.34,48102.74,55384.82
2007,"09 R9, Eastern Region",05 Mark Twain National Forest,69947.04,67948.9,42378.7,41239.39
2007,"09 R9, Eastern Region",07 Ottawa National Forest,63037.52,53095.11,39087.48,32924.24
2007,"09 R9, Eastern Region",08 Shawnee National Forest,204.0,204.0,129.13,129.13
2007,"09 R9, Eastern Region",09 Superior National Forest,91279.25,86507.61,56371.28,53898.42
2007,"09 R9, Eastern Region",10 Hiawatha National Forest,66449.17,66449.17,41001.27,41001.27
2007,"09 R9, Eastern Region",12 Hoosier National Forest,3673.08,6626.67,2217.75,3997.03
2007,"09 R9, Eastern Region",13 Chequamegon/Nicolet National Forest,139912.6,160028.59,84322.85,96831.97
2007,"09 R9, Eastern Region",14 Wayne National Forest,5013.82,5002.54,3044.3,3037.48
2007,"09 R9, Eastern Region",19 Allegheny National Forest,56719.15,54969.86,34819.33,33732.73
2007,"09 R9, Eastern Region",20 Green Mountain National Forest,7362.52,8183.84,4535.85,5040.7
2007,"09 R9, Eastern Region",21 Monongahela National Forest,17543.72,10255.25,10572.06,6195.56
2007,"09 R9, Eastern Region",22 White Mountain National Forest,8480.16,26308.7,5246.83,16254.74
2007,"09 R9, Eastern Region",Region Total,668668.62,700826.65,409386.24,429922.78
2007,"10 R10, Alaska Region",04 Chugach National Forest,1044.0,1044.0,580.0,580.0
2007,"10 R10, Alaska Region",05 Tongass National Forest,64647.53,68457.16,30336.99,31975.57
2007,"10 R10, Alaska Region",Region Total,65691.53,69501.16,30916.99,32555.57
2007,Unknown,Region Total,4805981.41,,2499326.75,
2008,"01 R1, Northern Region",02 Beaverhead/Deerlodge National Forest,32080.0,34067.47,14541.32,15444.25
2008,"01 R1, Northern Region",03 Bitterroot N.F. National Forest,26816.66,27389.92,12629.26,12933.66
2008,"01 R1, Northern Region",04 Idaho Panhandle National Forest,100608.65,121502.29,49588.26,59481.48
2008,"01 R1, Northern Region",05 Clearwater National Forest,53308.22,78169.77,27892.71,41064.44
2008,"01 R1, Northern Region",08 Custer National Forest,3400.65,21088.04,1300.56,10022.67
2008,"01 R1, Northern Region",10 Flathead National Forest,67181.62,89748.83,33015.41,44731.89
2008,"01 R1, Northern Region",11 Gallatin National Forest,10219.54,15668.12,4317.61,6899.67
2008,"01 R1, Northern Region",12 Helena National Forest,10035.41,10035.41,3937.72,3937.72
2008,"01 R1, Northern Region",14 Kootenai National Forest,97754.91,98129.84,48559.06,48751.18
2008,"01 R1, Northern Region",15 Lewis And Clark National Forest,9504.6,9504.6,3954.12,3954.12
2008,"01 R1, Northern Region",16 Lolo National Forest,60786.13,62078.51,29471.11,30086.37
2008,"01 R1, Northern Region",17 Nez Perce National Forest,21479.16,32992.33,11012.06,17293.29
2008,"01 R1, Northern Region",Region Total,493175.55,600375.13,240219.21,294600.75
2008,"02 R2, Rocky Mountain Region",02 Bighorn National Forest,20707.1,36944.25,10707.52,19217.66
2008,"02 R2, Rocky Mountain Region",03 Black Hills National Forest,254294.65,219515.23,127376.25,109803.97
2008,"02 R2, Rocky Mountain Region",04 GrandMesa/Uncompahgre/Gunnison National Forest,30576.12,29707.08,13645.83,13251.96
2008,"02 R2, Rocky Mountain Region",06 Medicine Bow-Routt National Forest,100204.5,135071.6,48938.09,65500.76
2008,"02 R2, Rocky Mountain Region",07 Nebraska National Forest,1445.65,1445.65,612.42,612.42
2008,"02 R2, Rocky Mountain Region",09 Rio Grande National Forest,25343.03,35346.13,12426.05,17517.73
2008,"02 R2, Rocky Mountain Region",10 Arapaho/Roosevelt National Forest,22787.42,21570.42,10729.08,10303.77
2008,"02 R2, Rocky Mountain Region",12 Pike-San Isabel National Forest,12004.77,13287.07,5603.52,6219.69
2008,"02 R2, Rocky Mountain Region",13 San Juan National Forest,20646.98,19554.98,10114.94,9511.61
2008,"02 R2, Rocky Mountain Region",14 Shoshone National Forest,13617.36,7012.51,6647.29,3508.46
2008,"02 R2, Rocky Mountain Region",15 White River National Forest,30763.09,53024.46,13122.42,23215.84
2008,"02 R2, Rocky Mountain Region",Region Total,532390.67,572479.38,259923.41,278663.87
2008,"03 R3, Southwestern Region",01 Apache/Sitgreaves National Forest,53815.02,53815.02,28399.55,28399.55
2008,"03 R3, Southwestern Region",02 Carson National Forest,16720.75,18228.25,10576.43,11405.56
2008,"03 R3, Southwestern Region",03 Cibola National Forest,19267.65,19267.65,9539.55,9539.55
2008,"03 R3, Southwestern Region",04 Coconino National Forest,32276.52,68381.31,17620.8,35718.39
2008,"03 R3, Southwestern Region",05 Coronado National Forest,961.81,961.81,609.76,609.76
2008,"03 R3, Southwestern Region",06 Gila National Forest,8773.87,8773.87,5019.2,5019.2
2008,"03 R3, Southwestern Region",07 Kaibab National Forest,38471.29,38471.29,20614.85,20614.85
2008,"03 R3, Southwestern Region",08 Lincoln National Forest,13644.78,13644.78,6895.67,6895.67
2008,"03 R3, Southwestern Region",09 Prescott National Forest,14605.27,14605.27,8122.76,8122.76
2008,"03 R3, Southwestern Region",10 Santa Fe National Forest,21795.81,21795.81,13522.93,13522.93
2008,"03 R3, Southwestern Region",12 Tonto National Forest,4447.76,4911.76,2615.48,2910.13
2008,"03 R3, Southwestern Region",Region Total,224780.53,262856.82,123537.0,142758.37
2008,"04 R4, Intermountain Region",01 Ashley National Forest,11634.42,12855.16,5311.23,5827.56
2008,"04 R4, Intermountain Region",02 Boise National Forest,26858.54,49418.42,14763.12,26681.25
2008,"04 R4, Intermountain Region",03 Bridger-Teton National Forest,20729.97,34798.97,11230.45,18571.29
2008,"04 R4, Intermountain Region",07 Dixie National Forest,24925.51,30226.34,13576.08,16395.4
2008,"04 R4, Intermountain Region",08 Fishlake National Forest,10402.89,12417.89,5678.73,6766.2
2008,"04 R4, Intermountain Region",10 Manti-Lasal National Forest,4300.06,4300.06,2522.02,2522.02
2008,"04 R4, Intermountain Region",12 Payette National Forest,59486.9,59486.9,32748.09,32748.09
2008,"04 R4, Intermountain Region",13 Salmon-Challis National Forest,10919.79,11098.79,6108.05,6169.85
2008,"04 R4, Intermountain Region",14 Sawtooth National Forest,8407.78,10841.78,4759.13,6146.51
2008,"04 R4, Intermountain Region",15 Caribou/Targhee National Forest,19536.47,17191.29,10620.89,9548.31
2008,"04 R4, Intermountain Region",17 Humboldt & Toiy National Forest,7600.58,7600.58,4330.56,4330.56
